iter	Passed	Remaining
0	307	119943
1	821	159835
2	1436	185801
3	1952	188856
4	2076	160286
5	2337	150021
6	3024	165918
7	3538	169382
8	3657	155236
9	3841	146363
10	4309	148887
11	4578	144592
12	5077	147635
13	5562	149783
14	6106	153071
15	6413	150315
16	6813	149887
17	6934	143706
18	7112	139257
19	7604	141059
20	7921	139575
21	8104	135936
22	8303	132853
23	8704	133108
24	9171	134265
25	9372	131575
26	9923	133781
27	10429	135208
28	11020	137565
29	11656	140260
30	11800	137036
31	12089	135634
32	12451	135075
33	13020	136712
34	13489	137209
35	13995	138009
36	14437	138133
37	14965	139017
38	15651	141261
39	16219	142330
40	16774	143198
41	17312	143859
42	17872	144644
43	18271	144095
44	18409	141547
45	18981	142359
46	19102	139814
47	19506	139391
48	20036	139847
49	20621	140640
50	20737	138249
51	21137	137801
52	21719	138510
53	22246	138837
54	22765	139077
55	23230	138966
56	23560	138056
57	23975	137652
58	24549	138143
59	24888	137304
60	25429	137567
61	25549	135579
62	25738	134001
63	26012	132906
64	26575	133286
65	27086	133382
66	27687	133893
67	28209	133994
68	28419	132623
69	28985	132919
70	29594	133383
71	30078	133263
72	30841	134350
73	31170	133526
74	31789	133938
75	32208	133497
76	32747	133542
77	33397	134018
78	33951	134087
79	34594	134486
80	35174	134616
81	35511	133816
82	36121	134041
83	36497	133390
84	37125	133650
85	37695	133685
86	38267	133716
87	38781	133532
88	39251	133190
89	39751	132946
90	40333	132968
91	40980	133185
92	41326	132421
93	41767	131967
94	42342	131929
95	42864	131719
96	43470	131756
97	44112	131887
98	44534	131354
99	45110	131272
100	45715	131261
101	46279	131125
102	46796	130848
103	47200	130254
104	47835	130295
105	48275	129796
106	48870	129711
107	49449	129575
108	49975	129293
109	50537	129099
110	51037	128743
111	51524	128351
112	52115	128212
113	52694	128037
114	53273	127856
115	53902	127786
116	54517	127673
117	55042	127344
118	55640	127178
119	56140	126783
120	56547	126180
121	57136	125980
122	57627	125561
123	58182	125279
124	58712	124940
125	59198	124505
126	59706	124115
127	60310	123918
128	60842	123572
129	61368	123208
130	62033	123119
131	62467	122568
132	63034	122276
133	63587	121955
134	64187	121718
135	64718	121346
136	65361	121180
137	65830	120688
138	66403	120385
139	66979	120084
140	67444	119582
141	68007	119253
142	68556	118894
143	69128	118573
144	69692	118237
145	70200	117801
146	70660	117286
147	71099	116737
148	71565	116233
149	72128	115886
150	72726	115591
151	73090	114924
152	73628	114532
153	74136	114092
154	74635	113638
155	75211	113299
156	75633	112727
157	76347	112588
158	76925	112243
159	77526	111928
160	78087	111553
161	78647	111174
162	79096	110638
163	79650	110248
164	80194	109841
165	81098	109923
166	81642	109508
167	82147	109041
168	82676	108605
169	83271	108253
170	83882	107918
171	84382	107440
172	84939	107033
173	85582	106732
174	86066	106230
175	86614	105806
176	87140	105356
177	87716	104963
178	88297	104575
179	88699	103975
180	89245	103544
181	89761	103078
182	90300	102636
183	90776	102123
184	91309	101674
185	91911	101300
186	92397	100797
187	92922	100336
188	93586	100024
189	94321	99782
190	94717	99180
191	95281	98755
192	95795	98277
193	96315	97805
194	96880	97376
195	97415	96918
196	97870	96379
197	98471	95984
198	99120	95634
199	99647	95163
200	100149	94668
201	100732	94249
202	101272	93789
203	101705	93229
204	102251	92774
205	102808	92328
206	103205	91738
207	103773	91301
208	104273	90803
209	104819	90344
210	105269	89803
211	105992	89493
212	106465	88971
213	107037	88531
214	107505	88004
215	108073	87559
216	108583	87067
217	109094	86574
218	109743	86191
219	110291	85726
220	115046	88497
221	115565	87975
222	116198	87539
223	116738	87032
224	117075	86376
225	117756	85972
226	118472	85592
227	119144	85178
228	119666	84655
229	120278	84194
230	120676	83585
231	121095	82992
232	121718	82539
233	122220	82002
234	122681	81439
235	123263	80957
236	123869	80488
237	124218	79854
238	124934	79456
239	125568	79003
240	126112	78493
241	126591	77942
242	127254	77505
243	127796	76992
244	128290	76450
245	128831	75937
246	129483	75488
247	130022	74972
248	130545	74447
249	131166	73977
250	131770	73497
251	132325	72989
252	132881	72480
253	133450	71979
254	133934	71431
255	134454	70903
256	135044	70412
257	135632	69918
258	136196	69412
259	136594	68822
260	137201	68338
261	137736	67817
262	138170	67246
263	138642	66695
264	139088	66132
265	139645	65622
266	140170	65097
267	140690	64570
268	141243	64058
269	141708	63506
270	142202	62968
271	142771	62462
272	143369	61969
273	143800	61403
274	144325	60879
275	144781	60325
276	145365	59825
277	145808	59267
278	146382	58762
279	147058	58298
280	147563	57765
281	148126	57254
282	148689	56743
283	149304	56252
284	149748	55696
285	150177	55135
286	150771	54635
287	151325	54119
288	151808	53579
289	152288	53038
290	152879	52535
291	153445	52024
292	153928	51484
293	154435	50953
294	154889	50404
295	155452	49891
296	156024	49381
297	156562	48860
298	157042	48320
299	157509	47777
300	158023	47249
301	158383	46675
302	158806	46121
303	159391	45615
304	159974	45107
305	160461	44572
306	161033	44061
307	161471	43513
308	162110	43019
309	162851	42551
310	163384	42028
311	163911	41503
312	164510	40996
313	165012	40464
314	165481	39925
315	166044	39409
316	166649	38902
317	167250	38394
318	167816	37877
319	168441	37372
320	169041	36862
321	169574	36337
322	170041	35798
323	170609	35280
324	171152	34757
325	171569	34208
326	172242	33711
327	172895	33208
328	173295	32657
329	173799	32126
330	174338	31602
331	174983	31096
332	175514	30570
333	176066	30047
334	176532	29509
335	177057	28982
336	177547	28449
337	178031	27916
338	178700	27411
339	179301	26895
340	179935	26383
341	180502	25861
342	181108	25344
343	181651	24818
344	182057	24274
345	182607	23749
346	183163	23225
347	183667	22694
348	184168	22163
349	184650	21630
350	185261	21112
351	185793	20585
352	186372	20062
353	186802	19524
354	187414	19005
355	187982	18481
356	188551	17957
357	189118	17432
358	189562	16896
359	190032	16363
360	190564	15836
361	191130	15311
362	191667	14784
363	192212	14257
364	192754	13730
365	193236	13199
366	193903	12680
367	194452	12153
368	195056	11629
369	195644	11104
370	196247	10579
371	196776	10050
372	197353	9523
373	198025	9001
374	198632	8475
375	199161	7945
376	199643	7413
377	200155	6883
378	200631	6352
379	201188	5823
380	201738	5294
381	202269	4765
382	202796	4235
383	203465	3709
384	204061	3180
385	204695	2651
386	205255	2121
387	205903	1592
388	206390	1061
389	206909	530
390	207556	0
