iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	AUC
0	0.6450215619	0.5974086846	0.1872758764	0.9726001704	0.9726001704	0.7401738997	0.3140758874	0.6661183961
1	0.6213755959	0.5974286926	0.1872885386	0.9725063889	0.9725063889	0.7401620963	0.3140888032	0.6666755646
2	0.6088924114	0.5978835239	0.187576614	0.9710527755	0.9710527755	0.7400892637	0.314417696	0.6806954315
3	0.60272919	0.5978866512	0.1875785962	0.9710527755	0.9710527755	0.7400916596	0.3144204807	0.6842578416
4	0.6026221569	0.5978848642	0.1875774635	0.9710527755	0.9710527755	0.7400902905	0.3144188895	0.6842578416
5	0.6006893566	0.5978882842	0.1875796313	0.9710918512	0.9710918512	0.7401042596	0.3144239832	0.698555337
6	0.589704954	0.5979058446	0.1875907627	0.9711700024	0.9711700024	0.7401404103	0.3144437177	0.7112781206
7	0.5883434093	0.5978838023	0.1875767904	0.971209078	0.971209078	0.7401348686	0.3144261362	0.7113022886
8	0.5882917166	0.5978751622	0.1875713139	0.9712481537	0.9712481537	0.7401395946	0.3144204898	0.7113022886
9	0.5873014589	0.5978964636	0.1875848161	0.9711700024	0.9711700024	0.7401332226	0.3144353635	0.7133331598
10	0.5869125972	0.5978890053	0.1875800884	0.9712715991	0.9712715991	0.7401570096	0.314434046	0.7134718543
11	0.5869028408	0.5978821549	0.1875757461	0.9712872293	0.9712872293	0.7401562986	0.3144287644	0.7134711183
12	0.5857451414	0.5980272822	0.1876677588	0.9709746243	0.9709746243	0.7401766859	0.3145416294	0.7138453392
13	0.5850214978	0.598950694	0.1882542835	0.9689114312	0.9689114312	0.7402821521	0.3152560173	0.716044536
14	0.5832116832	0.5998217737	0.1888092684	0.9671921036	0.9671921036	0.7404438359	0.3159422436	0.7161261944
15	0.5831893918	0.5997888066	0.1887882342	0.9672702549	0.9672702549	0.7404416159	0.315916963	0.716169349
16	0.5819436345	0.6003935506	0.1891744616	0.9658635323	0.9658635323	0.7404892107	0.3163821704	0.7203533293
17	0.58194344	0.6003815813	0.1891668095	0.9658791625	0.9658791625	0.7404847006	0.3163723072	0.7203533293
18	0.5819432954	0.6003786705	0.1891649486	0.9658947928	0.9658947928	0.7404870798	0.3163705431	0.7203533115
19	0.580700184	0.6025782835	0.190576465	0.9604945411	0.9604945411	0.7405581401	0.3180475459	0.722844656
20	0.5803760438	0.6025544239	0.1905610967	0.9605258016	0.9605258016	0.7405494121	0.3180278578	0.7230603911
21	0.5803759813	0.6025544196	0.190561094	0.9605570621	0.9605570621	0.7405586995	0.3180295674	0.7230603648
22	0.5798899911	0.6029658851	0.1908263011	0.9596270622	0.9596270622	0.7405925925	0.3183476855	0.7247687918
23	0.579884382	0.6029456725	0.1908132645	0.9595958017	0.9595958017	0.7405680368	0.3183278242	0.7247705566
24	0.5798108949	0.6029436548	0.1908119632	0.9597130286	0.9597130286	0.7406014221	0.3183324628	0.7247948401
