iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	AUC
0	0.6489947159	0.612294736	0.1969416194	0.9426838704	0.9426838704	0.7423901128	0.3258152607	0.6760377293
1	0.6067404754	0.6122550197	0.1969151612	0.9427542065	0.9427542065	0.7423827275	0.3257832523	0.6971347633
2	0.5973907843	0.6140179646	0.1980931533	0.9292731152	0.9292731152	0.7394462318	0.3265711363	0.7048509413
3	0.5909135984	0.6139686676	0.1980601142	0.9298905101	0.9298905101	0.7396058471	0.3265643311	0.7058303949
4	0.588382486	0.6140838223	0.1981373003	0.9288979892	0.9288979892	0.7393751805	0.3266079449	0.7049972623
5	0.5860089397	0.6139125295	0.1980224971	0.93237572	0.93237572	0.7403498499	0.3266660643	0.7070474424
6	0.5847591618	0.6137258815	0.1978974811	0.9337589972	0.9337589972	0.7406496458	0.3265806489	0.7074313762
7	0.5836911281	0.6138033135	0.1979493348	0.9337824425	0.9337824425	0.7407134048	0.3266526875	0.7104272098
8	0.5829151494	0.6139127954	0.1980226752	0.9332431989	0.9332431989	0.7406233671	0.326719508	0.7104597311
9	0.5816841901	0.6140875304	0.1981397863	0.933813703	0.933813703	0.7409301554	0.3269138694	0.7136000148
10	0.5801408536	0.6143584725	0.1983215196	0.9341106778	0.9341106778	0.7412208491	0.32717941	0.7209472004
11	0.574824248	0.6216140845	0.2032533408	0.9278742077	0.9278742077	0.7444776176	0.3334611253	0.7305798992
12	0.5747324357	0.6215135994	0.2031841695	0.9279601741	0.9279601741	0.7444332105	0.3333735758	0.7304913076
13	0.5747285082	0.6213829944	0.2030943013	0.9282258884	0.9282258884	0.7444249815	0.3332697321	0.730500168
14	0.5729438901	0.622380548	0.2037817691	0.925959502	0.925959502	0.7444090622	0.3340475741	0.7331538901
15	0.5729432812	0.6223496673	0.203760451	0.9260298381	0.9260298381	0.7444097001	0.3340235073	0.7331538901
16	0.5719240384	0.6226997251	0.2040022474	0.9250529475	0.9250529475	0.7443440109	0.3342845967	0.7341128587
17	0.5713417272	0.6231959325	0.2043455116	0.9239744602	0.9239744602	0.7443486872	0.3346746286	0.7359052418
18	0.5713417254	0.6231959325	0.2043455116	0.9239744602	0.9239744602	0.7443486872	0.3346746286	0.7359052418
19	0.5706536017	0.6237440897	0.2047254204	0.9221691662	0.9221691662	0.7441524483	0.3350650051	0.7374583662
20	0.5706048611	0.6238480985	0.2047975892	0.9220284939	0.9220284939	0.7441806487	0.3351523639	0.7373894258
21	0.5702497245	0.6240698567	0.2049515507	0.9208796705	0.9208796705	0.7439637786	0.3352824348	0.7378891817
22	0.5700855578	0.6241271454	0.2049913447	0.9208405949	0.9208405949	0.7439917312	0.3353330905	0.7384515364
23	0.5693604425	0.6239110406	0.2048412761	0.9205826957	0.9205826957	0.7437540136	0.3351151901	0.7411805966
24	0.5693404357	0.623911647	0.204841697	0.9205045445	0.9205045445	0.7437289373	0.335110575	0.7412201936
25	0.5692240644	0.6237613963	0.2047374271	0.9213720234	0.9213720234	0.7439050796	0.3350284244	0.7418010432
26	0.5692240642	0.6237588339	0.2047356494	0.9213720234	0.9213720234	0.7439032574	0.3350260443	0.7418010432
27	0.5689720127	0.6247397197	0.2054173625	0.9180505951	0.9180505951	0.7435134457	0.3357167966	0.7417825234
28	0.5687663878	0.6248994328	0.2055285892	0.9166282423	0.9166282423	0.7431595007	0.3357700175	0.7416985046
29	0.5687663857	0.6248978122	0.2055274603	0.9166360574	0.9166360574	0.7431609233	0.3357690353	0.7416985047
30	0.5686028001	0.6253049365	0.2058112742	0.9151433685	0.9151433685	0.742957312	0.336047179	0.7412477392
31	0.5686027999	0.6253028625	0.2058098273	0.9151433685	0.9151433685	0.742955848	0.3360452503	0.7412477392
32	0.5686027998	0.6253028625	0.2058098273	0.9151433685	0.9151433685	0.742955848	0.3360452503	0.7412477392
33	0.5686027998	0.6253043448	0.2058108614	0.9151511836	0.9151511836	0.7429594697	0.3360471557	0.7412477392
34	0.5686000676	0.6253147097	0.2058180923	0.9150964777	0.9150964777	0.7429487568	0.3360531059	0.7412492183
35	0.5660677494	0.6304636163	0.209443656	0.9111732848	0.9111732848	0.7452618756	0.3405971427	0.7423428826
36	0.5654744449	0.6303654005	0.209373867	0.9116812679	0.9116812679	0.7453630806	0.3405403117	0.7423433786
