iter	Passed	Remaining
0	721	281547
1	1538	299259
2	2233	288859
3	2664	257821
4	3362	259561
5	3948	253388
6	4525	248233
7	5120	245132
8	5809	246569
9	6395	243650
10	6952	240183
11	7420	234374
12	7888	229378
13	8041	216545
14	8611	215860
15	8738	204802
16	9318	205017
17	9910	205363
18	10040	196585
19	10606	196742
20	10862	191385
21	11218	188165
22	11500	184015
23	11799	180428
24	12336	180611
25	12844	180313
26	12964	174782
27	13308	172531
28	13680	170770
29	13874	166957
30	14222	165159
31	14343	160917
32	14460	156870
33	14579	153082
34	14920	151764
35	15277	150653
36	15674	149964
37	16153	150055
38	16770	151363
39	17363	152364
40	17921	152987
41	18376	152695
42	18932	153218
43	19535	154067
44	19657	151146
45	19856	148927
46	20349	148940
47	20749	148270
48	20946	146195
49	21473	146447
50	21700	144672
51	21958	143149
52	22437	143094
53	22553	140752
54	23128	141295
55	23620	141298
56	24187	141727
57	24760	142161
58	25017	140774
59	25219	139127
60	25581	138389
61	26120	138606
62	26320	137031
63	26921	137553
64	27246	136650
65	27552	135673
66	28142	136091
67	28758	136600
68	29453	137449
69	30135	138194
70	30798	138809
71	31428	139244
72	32070	139702
73	32642	139832
74	33235	140033
75	33755	139908
76	34375	140179
77	35044	140625
78	35468	140080
79	35822	139261
80	36325	139022
81	36796	138661
82	37435	138915
83	37825	138242
84	38411	138282
85	39015	138369
86	39571	138273
87	40249	138586
88	40753	138285
89	41393	138439
90	42000	138464
91	42639	138577
92	43109	138136
93	43774	138309
94	44301	138035
95	44837	137780
96	45317	137353
97	45980	137471
98	46757	137911
99	47432	138028
100	48016	137869
101	48579	137642
102	49178	137509
103	49671	137073
104	50085	136424
105	50737	136416
106	51419	136478
107	51912	136030
108	52500	135828
109	53162	135804
110	53623	135265
111	54142	134873
112	54674	134509
113	55253	134256
114	55814	133955
115	56273	133407
116	56830	133090
117	57481	132987
118	57958	132475
119	58499	132110
120	59115	131910
121	59818	131895
122	60236	131246
123	60747	130802
124	61263	130368
125	61874	130132
126	62559	130044
127	63134	129722
128	63681	129337
129	64210	128914
130	64852	128714
131	65349	128224
132	65916	127867
133	66494	127530
134	67202	127436
135	67877	127270
136	68433	126877
137	69044	126581
138	69558	126106
139	70159	125786
140	70524	125043
141	71086	124652
142	71702	124351
143	72188	123822
144	72820	123544
145	73178	122799
146	73701	122333
147	74258	121924
148	74890	121633
149	75402	121146
150	75899	120634
151	76493	120276
152	77045	119848
153	77628	119467
154	78254	119148
155	78806	118715
156	79322	118226
157	79879	117796
158	80490	117445
159	81357	117460
160	81970	117100
161	82348	116405
162	82825	115854
163	83467	115531
164	84093	115183
165	84613	114686
166	85116	114168
167	85713	113774
168	86401	113497
169	86937	113019
170	87337	112363
171	87904	111924
172	88498	111518
173	88914	110887
174	89357	110292
175	89871	109785
176	90293	109168
177	90775	108624
178	91451	108311
179	92127	107993
180	92753	107613
181	93363	107214
182	93843	106663
183	94467	106275
184	95041	105829
185	95579	105342
186	96182	104926
187	96616	104324
188	97212	103899
189	97817	103480
190	98234	102863
191	98749	102349
192	99349	101922
193	99969	101515
194	100370	100885
195	101008	100493
196	101511	99965
197	102090	99512
198	102555	98947
199	103228	98583
200	103757	98078
201	104335	97620
202	104879	97130
203	105429	96643
204	105977	96155
205	106452	95600
206	107061	95166
207	107574	94644
208	108093	94129
209	108607	93609
210	109031	93012
211	109385	92358
212	109903	91843
213	110476	91375
214	111029	90889
215	111709	90505
216	112443	90161
217	113002	89675
218	113511	89150
219	114029	88632
220	114445	88034
221	115094	87616
222	115609	87096
223	116141	86587
224	116642	86055
225	117189	85558
226	117767	85083
227	118240	84531
228	118846	84074
229	119406	83584
230	119995	83113
231	120556	82622
232	121065	82096
233	121619	81599
234	122137	81078
235	122442	80417
236	122953	79893
237	123393	79324
238	123764	78712
239	124330	78224
240	124892	77733
241	125427	77226
242	126088	76794
243	126604	76273
244	127184	75791
245	127692	75265
246	128130	74699
247	128694	74206
248	129263	73716
249	129695	73148
250	130190	72616
251	130757	72124
252	131370	71656
253	131807	71093
254	132443	70636
255	133024	70149
256	133667	69694
257	134215	69188
258	134677	68638
259	135298	68169
260	135903	67691
261	136461	67188
262	136895	66626
263	137343	66070
264	137978	65605
265	138553	65109
266	139095	64598
267	139665	64100
268	140143	63559
269	140694	63051
270	141202	62525
271	141688	61988
272	142296	61505
273	142672	60922
274	143117	60369
275	143537	59807
276	144087	59299
277	144640	58792
278	145235	58302
279	145852	57820
280	146447	57328
281	146996	56817
282	147498	56289
283	148063	55784
284	148502	55232
285	149033	54714
286	149537	54187
287	150053	53664
288	150637	53166
289	151110	52628
290	151653	52114
291	152094	51566
292	152535	51018
293	152918	50452
294	153388	49916
295	153850	49377
296	154352	48852
297	154972	48363
298	155555	47863
299	156107	47352
300	156730	46862
301	157186	46323
302	157705	45802
303	158292	45300
304	158838	44787
305	159338	44260
306	159823	43730
307	160421	43230
308	160997	42724
309	161901	42303
310	162507	41802
311	163218	41327
312	163812	40822
313	164328	40297
314	164815	39764
315	165288	39229
316	165876	38721
317	166475	38216
318	167030	37699
319	167616	37189
320	168149	36668
321	168657	36140
322	169209	35622
323	169689	35090
324	170266	34577
325	170882	34071
326	171386	33543
327	171821	33002
328	172384	32485
329	172776	31937
330	173368	31426
331	173887	30901
332	174347	30366
333	174900	29848
334	175524	29341
335	176065	28820
336	176645	28305
337	177117	27772
338	177729	27262
339	178269	26740
340	178862	26226
341	179473	25714
342	179937	25180
343	180336	24638
344	180983	24131
345	181461	23600
346	182057	23085
347	182615	22564
348	183132	22038
349	183640	21512
350	184134	20984
351	184666	20460
352	185179	19934
353	185721	19411
354	186310	18893
355	187029	18387
356	187719	17878
357	188202	17348
358	188737	16823
359	189255	16297
360	189856	15777
361	190432	15255
362	191054	14737
363	191594	14211
364	192155	13687
365	192718	13163
366	193258	12638
367	193669	12104
368	194262	11582
369	194936	11063
370	195461	10537
371	196094	10015
372	196663	9490
373	197178	8962
374	197648	8432
375	198104	7903
376	198670	7377
377	199171	6849
378	199735	6324
379	200329	5798
380	200755	5269
381	201371	4744
382	201916	4217
383	202394	3689
384	202860	3161
385	203513	2636
386	203941	2107
387	204396	1580
388	204963	1053
389	205553	527
390	206140	0
