iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	AUC
0	0.6410296758	0.597439549	0.1872954095	0.9725610947	0.9725610947	0.7401862721	0.3141013183	0.6993416741
1	0.6127127962	0.5974375045	0.1872941155	0.9726626914	0.9726626914	0.7402141246	0.3141047967	0.7002522847
2	0.6025042294	0.5974284628	0.1872883932	0.972701767	0.972701767	0.7402184996	0.3140987868	0.7001579959
3	0.5999253438	0.5974179185	0.1872817201	0.9726861367	0.9726861367	0.7402058803	0.3140885874	0.7056271858
4	0.5983462551	0.5974303871	0.1872896111	0.9726861367	0.9726861367	0.7402154508	0.3140996845	0.7032487665
5	0.5889891635	0.5985556156	0.1880031145	0.9699195824	0.9699195824	0.7402741382	0.3149569532	0.7080734671
6	0.5875359267	0.5987210792	0.1881082658	0.9674968935	0.9674968935	0.7396937007	0.3149763764	0.7081201938
7	0.5874777998	0.5986477933	0.1880616856	0.9684815993	0.9684815993	0.7399253374	0.3149631915	0.7081201938
8	0.5833536662	0.5989310091	0.1882417609	0.9688410951	0.9688410951	0.7402465871	0.3152347351	0.7130401332
9	0.5822508598	0.5988011256	0.1881591563	0.9693100026	0.9693100026	0.7402841676	0.3151436924	0.7140177902
10	0.5822291603	0.5987279634	0.188112642	0.9696069773	0.9696069773	0.7403148342	0.3150941336	0.7140177902
11	0.5802670088	0.5988711258	0.1882036712	0.9690833639	0.9690833639	0.7402715435	0.3151941415	0.71748409
12	0.5797232951	0.5996409988	0.1886939565	0.9664731121	0.9664731121	0.7400953714	0.3157424417	0.7187386848
13	0.5797191587	0.5995899879	0.1886614308	0.9666294146	0.9666294146	0.7401023357	0.3157052427	0.7187386848
14	0.5794183778	0.5999807095	0.1889107088	0.9653008433	0.9653008433	0.7400098516	0.3159830902	0.7181095433
15	0.57933048	0.5999461305	0.1888886341	0.9655821878	0.9655821878	0.7400662006	0.3159672763	0.7182344955
16	0.57874434	0.6016045976	0.1899503242	0.9592597513	0.9592597513	0.7394557728	0.3171077328	0.7189593576
17	0.5784189047	0.6023081831	0.1904025635	0.9566182389	0.9566182389	0.7391997278	0.3175924352	0.7191513445
18	0.5784188065	0.6023074947	0.1904021204	0.9566338692	0.9566338692	0.7392038757	0.3175926803	0.7191513445
19	0.5782974207	0.6023844716	0.1904516647	0.9565479028	0.9565479028	0.7392361753	0.3176568599	0.7186909995
20	0.5770971565	0.6051955139	0.1922699522	0.9524918527	0.9524918527	0.7401277158	0.3199540065	0.721365944
21	0.577097127	0.605194114	0.1922690423	0.9524918527	0.9524918527	0.7401266689	0.3199527466	0.7213659535
22	0.5770021206	0.6057825964	0.1926519315	0.9519526091	0.9519526091	0.7404035309	0.3204521778	0.7212820103
23	0.5768294698	0.6065125194	0.193127932	0.9510460545	0.9510460545	0.7406737034	0.3210587899	0.721304518
24	0.5768294625	0.6065122171	0.1931277346	0.9510616848	0.9510616848	0.740678218	0.3210594077	0.721304518
25	0.576130062	0.6079997249	0.1941015089	0.9465992482	0.9465992482	0.7404251417	0.3221464372	0.7228844619
26	0.5761300571	0.6079955317	0.1940987568	0.9466070633	0.9466070633	0.7404244231	0.3221430994	0.7228844619
27	0.576106562	0.6079664075	0.1940796431	0.9465836179	0.9465836179	0.7403956543	0.3221154166	0.7228964529
28	0.57574154	0.6082645555	0.1942754041	0.9458333659	0.9458333659	0.7403869524	0.3223414541	0.7242057765
29	0.5756976533	0.6083275028	0.1943167606	0.9458646264	0.9458646264	0.7404431606	0.3224001939	0.7243025106
30	0.5756967649	0.6083319259	0.1943196668	0.9459349625	0.9459349625	0.7404679876	0.3224082798	0.7243048085
31	0.5750733797	0.6086844584	0.1945514522	0.9448799206	0.9448799206	0.7404053936	0.3226657877	0.7244668586
32	0.5750685037	0.6086815366	0.1945495301	0.9448721055	0.9448721055	0.7404008326	0.3226626884	0.7244860964
33	0.5750684953	0.6086750082	0.1945452351	0.9448877357	0.9448877357	0.7404008013	0.3226576928	0.7244860964
34	0.5747840139	0.6093521085	0.1949912027	0.9440593324	0.9440593324	0.7406467206	0.3232222961	0.7243868324
35	0.5746269166	0.6098601294	0.1953264981	0.9414100049	0.9414100049	0.7402043199	0.323526726	0.7245967882
36	0.5745453746	0.6100624962	0.1954602263	0.9411364755	0.9411364755	0.7402687572	0.3236939684	0.7246114247
37	0.5745399052	0.6100276419	0.1954371871	0.9414959713	0.9414959713	0.7403542716	0.3236836272	0.7246679447
38	0.5744471003	0.6104118184	0.1956912876	0.940104879	0.940104879	0.7402063191	0.32394956	0.7247022606
39	0.5744471001	0.6104085044	0.1956890942	0.9401126941	0.9401126941	0.740206305	0.3239470187	0.7247022606
40	0.5744470544	0.6104070615	0.1956881392	0.9401126941	0.9401126941	0.7402052441	0.3239457101	0.7247029623
41	0.574439029	0.6103306506	0.1956375735	0.9401908454	0.9401908454	0.7401732795	0.3238810591	0.7247804426
42	0.5744285473	0.6103377023	0.1956422395	0.9401674	0.9401674	0.7401711995	0.323886062	0.7248014907
43	0.5740621466	0.6121306014	0.1968322999	0.9345092492	0.9345092492	0.7397219314	0.3251743117	0.7252015627
44	0.5737987766	0.6127275839	0.1972302131	0.9312425268	0.9312425268	0.7391308673	0.3255181193	0.7257262806
45	0.5737451775	0.6125657746	0.1971222784	0.9325476527	0.9325476527	0.7394237408	0.3254506701	0.7260448084
46	0.5732838616	0.6131919996	0.1975403408	0.9311800058	0.9311800058	0.7394489511	0.3259365639	0.7273885186
47	0.5732398728	0.6132533103	0.1975813207	0.9309377369	0.9309377369	0.7394171205	0.3259774946	0.7274985623
48	0.5732398702	0.6132601441	0.1975858889	0.9309299218	0.9309299218	0.7394196227	0.3259832327	0.7274985623
49	0.5732262396	0.6132887447	0.1976050089	0.9311018545	0.9311018545	0.7394946432	0.3260197953	0.7275415213
50	0.5732262387	0.6132921467	0.1976072833	0.9310940394	0.9310940394	0.7394946515	0.3260224116	0.7275415213
51	0.5732064931	0.6133902097	0.1976728555	0.9308283251	0.9308283251	0.7394820988	0.3260953487	0.7275702049
52	0.5731818498	0.6131542108	0.1975150873	0.9312894175	0.9312894175	0.7394559663	0.3259088883	0.7277611681
53	0.5729940009	0.6132230124	0.1975610686	0.9314691654	0.9314691654	0.7395626595	0.3259824904	0.7281512017
54	0.5715228337	0.615752886	0.1992595582	0.9299999218	0.9299999218	0.7409336512	0.3281998103	0.7293794292
55	0.5715228052	0.6157485255	0.1992566176	0.9300780731	0.9300780731	0.7409552955	0.3282006875	0.7293794292
56	0.5711287071	0.6165562377	0.1998020762	0.9277804262	0.9277804262	0.7408084291	0.328796261	0.7297037361
57	0.5710213995	0.6167203604	0.1999131003	0.927702275	0.927702275	0.7409019633	0.3289416622	0.7298109847
58	0.570865493	0.6167949718	0.199963594	0.9271864767	0.9271864767	0.7407912281	0.3289775603	0.7298677156
59	0.5705180827	0.6168373081	0.1999922512	0.9278351321	0.9278351321	0.741028726	0.3290571581	0.7305920563
60	0.5701424325	0.6182195998	0.2009302738	0.9219816032	0.9219816032	0.740146283	0.3299529014	0.7310495897
61	0.5696834686	0.6192123636	0.2016067967	0.9176207632	0.9176207632	0.7394454372	0.3305826076	0.7318122018
62	0.5695187753	0.6197262936	0.2019579518	0.9155810155	0.9155810155	0.7391479554	0.3309215553	0.7319440823
63	0.569398339	0.620040586	0.2021730151	0.9142602593	0.9142602593	0.7389404349	0.3311236909	0.7322271547
64	0.5690846105	0.6203430174	0.2023801888	0.9123533687	0.9123533687	0.7385311883	0.3312760179	0.7328641735
65	0.5686672261	0.620940496	0.202790132	0.9122283267	0.9122283267	0.7389134207	0.331816754	0.7337333378
66	0.5678057283	0.6213614388	0.2030794731	0.9096415202	0.9096415202	0.7383606419	0.3320320579	0.7351949645
67	0.5668468041	0.6228671414	0.204117994	0.9060700079	0.9060700079	0.7382399413	0.3331781502	0.7358430164
68	0.5659538026	0.6242681722	0.2050893398	0.8988175715	0.8988175715	0.7367979181	0.3339736358	0.7371660355
69	0.5645806158	0.6256138092	0.2060268712	0.8955664794	0.8955664794	0.7366368875	0.334988877	0.7395505775
70	0.5631570113	0.6260700598	0.2063457768	0.8956368155	0.8956368155	0.7369768827	0.3354152338	0.7417189189
71	0.5621432693	0.6265833852	0.2067052002	0.8957462272	0.8957462272	0.7373694879	0.3358976162	0.7432165155
72	0.5616379381	0.6262423037	0.2064663058	0.8969732019	0.8969732019	0.7375483801	0.3356681397	0.7434451812
73	0.5606178018	0.6281539485	0.2078090112	0.8924482443	0.8924482443	0.7373327372	0.3371189533	0.7454607003
74	0.5600935656	0.6279972382	0.2076985931	0.8919480763	0.8919480763	0.7370540548	0.3369379742	0.7458575553
75	0.5595617347	0.6286453491	0.2081556561	0.8926826981	0.8926826981	0.7377512397	0.3375917128	0.746687441
76	0.5588841204	0.6288262244	0.2082834042	0.8924638746	0.8924638746	0.7378010138	0.3377440353	0.7477461519
77	0.5581916446	0.6298334502	0.2089963101	0.8906038747	0.8906038747	0.737856276	0.3385465483	0.74878791
78	0.557732845	0.6302313349	0.2092786442	0.8898067319	0.8898067319	0.7378553165	0.3388591105	0.7496774849
79	0.5572651827	0.6316944115	0.210320325	0.8857116062	0.8857116062	0.7374414828	0.3399228573	0.7504940145
80	0.5568134739	0.6327363118	0.2110655087	0.8829841275	0.8829841275	0.7372020667	0.3406929409	0.7511739556
81	0.5563475402	0.6335109482	0.2116213697	0.8819290856	0.8819290856	0.7373590756	0.3413377777	0.7517378148
82	0.5560894514	0.6334156451	0.2115528981	0.8831482451	0.8831482451	0.7377202095	0.3413398658	0.751995588
83	0.5557841721	0.633783407	0.211817252	0.8820932032	0.8820932032	0.7376009787	0.3416048497	0.7525688353
84	0.5552137631	0.6346596891	0.2124485665	0.8800534555	0.8800534555	0.737478848	0.3422713941	0.7534130047
85	0.5549387331	0.6347043179	0.212480773	0.8798580773	0.8798580773	0.7374403624	0.3422984074	0.7534667757
86	0.5546615981	0.6352291938	0.2128599455	0.8793188337	0.8793188337	0.7376048612	0.3427493055	0.7539096705
87	0.5545292602	0.635289109	0.2129032746	0.8793813547	0.8793813547	0.7376672494	0.3428102255	0.7540986682
