iter	Passed	Remaining
0	593	231397
1	1054	205139
2	1415	183037
3	1545	149557
4	2100	162188
5	2533	162553
6	2648	145266
7	3166	151599
8	3636	154359
9	4099	156185
10	4217	145685
11	4533	143193
12	5050	146848
13	5611	151123
14	5914	148267
15	6480	151890
16	6599	145193
17	6954	144119
18	7283	142597
19	7476	138697
20	8031	141501
21	8591	144108
22	8793	140698
23	8996	137564
24	9116	133463
25	9234	129633
26	9699	130759
27	10297	133502
28	10857	135532
29	11325	136286
30	11505	133609
31	12112	135889
32	12653	137267
33	13030	136823
34	13140	133658
35	13598	134094
36	14038	134316
37	14581	135450
38	14764	133258
39	15184	133246
40	15552	132769
41	15682	130313
42	16182	130969
43	16553	130545
44	17032	130958
45	17461	130961
46	17729	129767
47	17927	128109
48	18127	126524
49	18676	127373
50	19157	127719
51	19601	127786
52	19789	126205
53	19956	124543
54	20525	125393
55	20635	123442
56	21026	123207
57	21147	121413
58	21665	121914
59	21793	120229
60	22307	120677
61	22760	120778
62	23243	121012
63	23609	120629
64	24100	120872
65	24627	121269
66	24983	120813
67	25436	120822
68	25906	120898
69	26442	121256
70	27037	121859
71	27510	121887
72	27955	121780
73	28496	122072
74	28987	122133
75	29385	121793
76	29967	122204
77	30538	122544
78	31128	122939
79	31724	123328
80	32267	123491
81	32828	123706
82	33185	123144
83	33623	122887
84	34269	123369
85	34844	123574
86	35278	123273
87	35778	123190
88	36340	123314
89	36875	123326
90	37374	123212
91	38001	123506
92	38567	123582
93	39136	123656
94	39724	123772
95	40167	123431
96	40677	123290
97	41087	122843
98	41675	122921
99	42302	123099
100	42805	122906
101	43239	122513
102	43762	122364
103	44278	122191
104	44924	122366
105	45453	122210
106	45973	122023
107	46424	121649
108	47036	121690
109	47684	121811
110	48283	121796
111	48862	121719
112	49439	121630
113	50020	121540
114	50574	121379
115	51190	121355
116	51694	121062
117	52229	120836
118	52812	120713
119	53403	120603
120	54035	120575
121	54645	120487
122	55028	119899
123	55602	119723
124	56000	119168
125	56529	118892
126	57045	118582
127	57667	118488
128	58078	117956
129	58625	117702
130	59135	117368
131	59605	116953
132	60201	116781
133	60600	116226
134	61158	115974
135	61635	115565
136	62226	115369
137	62666	114887
138	63145	114478
139	63716	114234
140	64059	113580
141	64556	113201
142	65047	112809
143	65620	112556
144	66135	112202
145	66691	111914
146	67193	111532
147	67736	111216
148	68246	110842
149	68851	110620
150	69325	110185
151	69951	109990
152	70535	109722
153	71070	109374
154	71759	109259
155	72346	108983
156	72891	108640
157	73488	108372
158	74073	108081
159	74451	107489
160	75011	107159
161	75417	106608
162	75961	106253
163	76319	105636
164	76834	105240
165	77396	104904
166	77856	104429
167	78366	104022
168	78918	103667
169	79501	103352
170	80077	103024
171	80523	102526
172	81030	102108
173	81617	101787
174	82190	101446
175	82798	101145
176	83436	100878
177	84046	100572
178	84630	100233
179	85141	99804
180	85720	99454
181	86308	99112
182	86933	98810
183	87444	98374
184	87774	97738
185	88231	97244
186	88703	96767
187	89154	96267
188	89751	95924
189	90420	95655
190	90925	95210
191	91318	94648
192	91877	94257
193	92468	93898
194	93151	93629
195	93837	93358
196	94329	92893
197	94851	92456
198	95409	92053
199	95939	91622
200	96418	91141
201	96988	90746
202	97574	90364
203	97966	89802
204	98378	89260
205	98693	88632
206	99223	88199
207	99806	87810
208	100420	87447
209	100884	86953
210	101470	86562
211	102141	86242
212	102649	85782
213	103111	85283
214	103492	84719
215	104017	84273
216	104747	83990
217	105247	83522
218	105850	83133
219	106453	82743
220	107029	82330
221	107503	81838
222	108098	81437
223	108547	80926
224	109340	80668
225	109674	80071
226	110221	79631
227	110733	79164
228	111264	78711
229	111815	78271
230	112237	77740
231	112875	77358
232	113422	76913
233	113939	76446
234	114367	75920
235	114908	75469
236	115460	75024
237	115909	74513
238	116461	74067
239	116887	73541
240	117550	73164
241	118097	72712
242	118544	72199
243	119140	71777
244	119673	71315
245	120236	70870
246	120741	70391
247	121342	69967
248	121851	69489
249	122376	69020
250	122966	68586
251	123418	68076
252	123960	67614
253	124419	67107
254	125027	66681
255	125675	66274
256	126171	65785
257	126767	65349
258	127293	64875
259	127846	64414
260	128462	63984
261	128930	63481
262	129488	63021
263	129890	62485
264	130447	62024
265	130919	61522
266	131446	61046
267	131850	60513
268	132474	60081
269	133061	59631
270	133686	59197
271	134299	58756
272	134743	58240
273	135264	57759
274	135729	57253
275	136244	56768
276	136733	56273
277	137227	55779
278	137675	55267
279	138330	54838
280	138854	54355
281	139419	53889
282	139952	53409
283	140376	52888
284	140883	52398
285	141436	51925
286	141955	51440
287	142470	50953
288	142992	50467
289	143598	50011
290	144132	49529
291	144648	49041
292	145142	48545
293	145564	48026
294	146087	47540
295	146601	47051
296	147204	46590
297	147843	46139
298	148346	45645
299	148914	45170
300	150519	45005
301	151134	44539
302	151627	44036
303	152046	43513
304	152517	43004
305	152904	42473
306	153509	42002
307	153986	41496
308	154617	41031
309	155026	40506
310	155430	39982
311	155964	39490
312	156489	38997
313	157112	38527
314	157569	38016
315	158096	37522
316	158517	37003
317	159030	36507
318	159482	35996
319	159960	35491
320	160410	34980
321	160871	34472
322	161402	33979
323	161943	33488
324	162421	32984
325	162902	32480
326	163416	31983
327	163965	31493
328	164490	30998
329	165069	30512
330	165489	29998
331	166026	29504
332	166537	29006
333	167052	28509
334	167524	28004
335	167946	27491
336	168523	27003
337	169092	26514
338	169643	26022
339	170155	25523
340	170731	25033
341	171294	24542
342	171742	24034
343	172277	23537
344	172774	23036
345	173286	22537
346	173790	22036
347	174344	21542
348	174868	21044
349	175437	20551
350	175968	20053
351	176592	19565
352	177015	19055
353	177582	18560
354	178116	18062
355	178578	17556
356	179014	17048
357	179528	16548
358	180091	16052
359	180492	15542
360	181109	15050
361	181511	14540
362	182031	14041
363	182522	13538
364	183119	13044
365	183466	12531
366	183974	12031
367	184453	11528
368	185025	11031
369	185603	10534
370	186143	10034
371	186667	9534
372	187080	9028
373	187518	8523
374	188062	8023
375	188567	7522
376	189057	7020
377	189613	6521
378	190166	6021
379	190634	5518
380	191190	5018
381	191778	4518
382	192423	4019
383	192967	3517
384	193523	3015
385	193986	2512
386	194535	2010
387	195059	1508
388	195522	1005
389	196150	502
390	196693	0
