iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	AUC
94	0.5519017687	0.6392702892	0.2158037262	0.87254312	0.87254312	0.737909704	0.346025823	0.7583985364
95	0.5516424032	0.6394921151	0.2159665833	0.8723711872	0.8723711872	0.7379959482	0.3462216047	0.7585129672
96	0.5514474827	0.6397229364	0.2161361854	0.8721914393	0.8721914393	0.7380852747	0.3464253343	0.7588629818
97	0.5513714097	0.6398733853	0.2162468092	0.8719179099	0.8719179099	0.7380874152	0.3465458171	0.7589911353
98	0.5511343392	0.6402209688	0.2165026186	0.870675305	0.870675305	0.7378727408	0.346775775	0.7592022815
99	0.5509308871	0.6405034444	0.2167107519	0.8701438765	0.8701438765	0.7378693125	0.3470004706	0.7593950944
100	0.5508098085	0.6406763529	0.2168382609	0.8695577421	0.8695577421	0.7377731501	0.3471172354	0.7594856897
101	0.5505968606	0.6409667586	0.2170525995	0.869245137	0.869245137	0.7378530649	0.3473668595	0.7598101699
102	0.550375399	0.641407669	0.2173784592	0.8682838766	0.8682838766	0.7377983124	0.3477070264	0.7600505141
103	0.5502362096	0.6417296024	0.2176167224	0.8682916917	0.8682916917	0.738014072	0.3480123914	0.7602097905
104	0.5501001632	0.6420320643	0.2178408328	0.8671037927	0.8671037927	0.7377843889	0.3482032315	0.7604184693
105	0.5499527332	0.6420602877	0.2178617577	0.8670100112	0.8670100112	0.7377690723	0.348222399	0.7605773702
106	0.5497808237	0.6424612608	0.2181592774	0.8664004314	0.8664004314	0.7378127716	0.3485530405	0.7608851808
107	0.5497234295	0.6426073624	0.2182677935	0.866126902	0.866126902	0.7378098809	0.3486693702	0.7609632623
108	0.5495129609	0.6431918188	0.2187024815	0.865501692	0.865501692	0.7379677893	0.3491729186	0.7612226243
109	0.5493650224	0.6435127179	0.2189415494	0.8647983307	0.8647983307	0.7379230229	0.3494201697	0.7613819635
110	0.549251632	0.6436333762	0.2190315126	0.8643919442	0.8643919442	0.7378543289	0.3495015247	0.7615444011
111	0.5490022058	0.6437201659	0.219096248	0.8641731207	0.8641731207	0.7378316086	0.3495660338	0.7616909808
112	0.5489083473	0.6438733044	0.2192105232	0.8637432888	0.8637432888	0.7377754371	0.3496762579	0.7618471748
113	0.5488036044	0.6440351373	0.2193313567	0.8637120283	0.8637120283	0.7378702576	0.3498274097	0.7619898014
114	0.5486847343	0.6443034408	0.2195318468	0.8623912721	0.8623912721	0.7375637004	0.3499737557	0.7621659837
115	0.5485218144	0.644589849	0.2197460859	0.8619379948	0.8619379948	0.7375854143	0.3502085387	0.762343234
116	0.5483678354	0.6448451339	0.219937236	0.8615550537	0.8615550537	0.7376122076	0.3504195804	0.7625877976
117	0.5482681454	0.6449219246	0.2199947702	0.8613127848	0.8613127848	0.737573627	0.3504725501	0.7627159114
118	0.5480741885	0.6451019226	0.2201296949	0.8608673226	0.8608673226	0.7375278967	0.3506068158	0.7629587796
119	0.5479593639	0.6452907321	0.2202713216	0.8607188352	0.8607188352	0.7375967582	0.3507741013	0.7631186701
120	0.5478585879	0.6454382959	0.2203820789	0.8602577428	0.8602577428	0.7375237462	0.3508761864	0.7632479065
121	0.5477619756	0.6456713106	0.2205570969	0.860453121	0.860453121	0.737747669	0.3511142434	0.763444109
122	0.5477192222	0.6456819216	0.2205650705	0.8601170706	0.8601170706	0.7376310461	0.3510963587	0.7635131489
123	0.5476093685	0.6458519483	0.2206928788	0.8597341294	0.8597341294	0.7376010854	0.3512263181	0.7636491239
124	0.5475597779	0.6460185452	0.2208181873	0.8592886673	0.8592886673	0.7375456786	0.3513477672	0.7637299615
125	0.5474202602	0.6461925119	0.220949122	0.8588588354	0.8588588354	0.7375006164	0.3514775091	0.7638615009
126	0.5473358873	0.6463045453	0.221033488	0.858647827	0.858647827	0.7374957555	0.3515665623	0.7639905855
127	0.5471101085	0.6466459188	0.2212907738	0.8579991716	0.8579991716	0.7374784475	0.3518374306	0.7641482871
128	0.5470089305	0.6467104625	0.2213394558	0.8573974069	0.8573974069	0.7372980155	0.3518483181	0.7642390478
129	0.5468852715	0.6469080043	0.221488524	0.857710012	0.857710012	0.7375419756	0.3520629768	0.7643828047
130	0.5467944356	0.6469937931	0.2215532957	0.8576318607	0.8576318607	0.7375688288	0.3521382112	0.7644970823
131	0.5467193049	0.6470918607	0.2216273636	0.8576553061	0.8576553061	0.7376412199	0.3522337376	0.764628713
132	0.5466418053	0.6473124479	0.2217940661	0.8578116086	0.8578116086	0.7378423457	0.3524574372	0.7647367863
133	0.5466073533	0.6473898731	0.2218526105	0.8573895918	0.8573895918	0.7377364617	0.3524957026	0.7647931409
134	0.5465240167	0.6474503412	0.2218983447	0.8572958103	0.8572958103	0.7377409995	0.3525454995	0.7649153747
135	0.5464525012	0.6476521117	0.2220510256	0.8571082473	0.8571082473	0.7378024853	0.3527222907	0.7649776995
136	0.5463164515	0.6477174183	0.2221004681	0.8569519448	0.8569519448	0.7377869383	0.3527714239	0.7650605238
137	0.5462560381	0.6478243736	0.2221814682	0.8568581633	0.8568581633	0.7378215528	0.3528656394	0.7651529744
138	0.5458200796	0.6480577779	0.2223583436	0.8567565667	0.8567565667	0.7379352261	0.3530800459	0.7659775852
139	0.5457236861	0.6481643018	0.2224391194	0.8566940457	0.8566940457	0.737981085	0.3531765593	0.7660554267
140	0.5456496002	0.6483020225	0.222543599	0.8568581633	0.8568581633	0.7381312441	0.3533221941	0.766169182
141	0.5455681396	0.6485018218	0.2226952691	0.8560063146	0.8560063146	0.7379443701	0.3534407651	0.7662864808
142	0.5454601998	0.6486161749	0.2227821268	0.8558265667	0.8558265667	0.7379515866	0.3535348155	0.7664191437
143	0.5453860526	0.6486816273	0.2228318584	0.8560141297	0.8560141297	0.7380636731	0.3536134378	0.7665419289
144	0.5453496834	0.6487247987	0.2228646673	0.8557953062	0.8557953062	0.7380102612	0.3536360686	0.7665827736
145	0.5452613684	0.6487885279	0.2229131091	0.8559203482	0.8559203482	0.7380979956	0.3537077287	0.7667240681
146	0.5450799173	0.6488279959	0.2229431152	0.8563892558	0.8563892558	0.7382978423	0.353785532	0.7668650799
147	0.5447311623	0.6491337516	0.2231757208	0.8560688356	0.8560688356	0.7383765874	0.3540509486	0.767514957
148	0.5446552935	0.649268189	0.2232780792	0.8562485835	0.8562485835	0.73853042	0.354195122	0.7676065389
149	0.5445603294	0.6494283188	0.2234000665	0.8557718609	0.8557718609	0.7384565699	0.3543077535	0.7677106168
150	0.544486955	0.6495390366	0.2234844543	0.8560532054	0.8560532054	0.7386328898	0.3544379981	0.7678240318
151	0.5443777281	0.6497154652	0.2236189986	0.8558031214	0.8558031214	0.7386538142	0.3545857241	0.7679478157
152	0.5442024087	0.649687184	0.2235974254	0.8560141297	0.8560141297	0.7387141186	0.3545767079	0.7680360247
153	0.5441319743	0.6497841453	0.223671398	0.856279844	0.856279844	0.7388757324	0.3546925126	0.7681537286
154	0.5441025592	0.6498268922	0.2237040184	0.855904718	0.855904718	0.7387636669	0.3547013253	0.7681917605
155	0.5440792348	0.6498724249	0.2237387706	0.8560219449	0.8560219449	0.7388367581	0.3547550764	0.7682198226
156	0.5439530189	0.6499875774	0.2238266853	0.8557093399	0.8557093399	0.7387946862	0.3548387097	0.768409582
157	0.5438825963	0.6500593262	0.2238814821	0.855654634	0.855654634	0.7388206386	0.3549028601	0.7685033429
158	0.5438324091	0.6501093617	0.2239197045	0.8555452222	0.8555452222	0.7388121609	0.3549414688	0.7685635014
159	0.5437632881	0.6502547872	0.2240308365	0.8557562306	0.8557562306	0.7389847472	0.3550992413	0.7686376923
160	0.5435707967	0.650390285	0.2241344364	0.8555686676	0.8555686676	0.7390022797	0.3552132071	0.7687924758
161	0.5434938414	0.6505106062	0.2242264767	0.8550841298	0.8550841298	0.7388990973	0.3552869777	0.7688699873
162	0.5434669503	0.6505838303	0.22428251	0.8549121971	0.8549121971	0.7388821247	0.3553424644	0.7689083842
163	0.5434389058	0.6506260884	0.2243148543	0.8550372391	0.8550372391	0.7389560789	0.3553938606	0.7689603217
164	0.5433115007	0.650733407	0.2243970188	0.8548418609	0.8548418609	0.7389523041	0.3554800864	0.7690944687
165	0.5432759688	0.6507888852	0.2244395065	0.8548809366	0.8548809366	0.7390026733	0.3555367764	0.7691393267
166	0.5432099878	0.6508420182	0.2244802065	0.8549903483	0.8549903483	0.73907781	0.3555973048	0.7692252548
167	0.5431799625	0.6509719716	0.2245797854	0.8549747181	0.8549747181	0.7391557506	0.3557208794	0.7692625949
168	0.5431334075	0.6510808355	0.2246632414	0.8546621131	0.8546621131	0.7391090533	0.3557984806	0.7693093133
169	0.5431176974	0.6511328483	0.2247031269	0.8547558946	0.8547558946	0.7391776356	0.3558566253	0.7693274913
170	0.5430640694	0.6512357523	0.2247820608	0.8546152223	0.8546152223	0.7391913232	0.3559434027	0.7693699908
171	0.5429874634	0.6513433084	0.2248645958	0.8543104324	0.8543104324	0.7391465492	0.3560204138	0.7694473323
172	0.5429778676	0.6513482432	0.2248683834	0.8542088358	0.8542088358	0.739111698	0.356016338	0.7694588703
173	0.5429143257	0.6513952296	0.2249044503	0.8539978274	0.8539978274	0.7390629421	0.3560432041	0.7695513491
174	0.5428062079	0.6516756842	0.2251198608	0.853536735	0.853536735	0.7390706171	0.3562729264	0.7697055599
175	0.5427299149	0.6517913775	0.2252087882	0.853724298	0.853724298	0.7392153336	0.3564006277	0.7698161162
176	0.5426484438	0.6518704405	0.2252695821	0.8538649703	0.8538649703	0.739318914	0.3564890116	0.7698994504
177	0.5425671064	0.6521543418	0.2254880311	0.8538806005	0.8538806005	0.7395073319	0.3567638521	0.7700051887
178	0.542478803	0.6522958347	0.2255969906	0.8539353064	0.8539353064	0.7396188118	0.3569049964	0.7701218505
179	0.542431919	0.652307897	0.225606282	0.8541150543	0.8541150543	0.7396939808	0.356932322	0.77018387
180	0.5423428755	0.6525058342	0.2257588119	0.8541932055	0.8541932055	0.7398505414	0.3571300208	0.7703214235
181	0.5423291776	0.6525178341	0.2257680626	0.8539900123	0.8539900123	0.7397820257	0.3571238318	0.7703271617
182	0.5423032631	0.6525750603	0.2258121841	0.854036903	0.854036903	0.7398363972	0.3571831299	0.7703588815
183	0.5422308388	0.6526467427	0.2258674648	0.8539353064	0.8539353064	0.7398443338	0.3572433928	0.7704647607
184	0.542199551	0.6526359433	0.2258591355	0.8538102644	0.8538102644	0.7397904611	0.3572220315	0.7705192913
185	0.5421566808	0.6527479514	0.2259455413	0.8538649703	0.8538649703	0.7398829548	0.3573348858	0.7705767671
186	0.5420982767	0.6526806725	0.2258936363	0.8537164829	0.8537164829	0.7397839888	0.3572569713	0.7706856113
187	0.5420617697	0.65267881	0.2258921996	0.8534038779	0.8534038779	0.7396654008	0.3572277953	0.7707249355
188	0.5420034093	0.6527495137	0.2259467467	0.8534351384	0.8534351384	0.7397225443	0.3572987387	0.7707843075
189	0.5419268862	0.6527876726	0.2259761919	0.8534898442	0.8534898442	0.7397675963	0.3573403486	0.7708706649
190	0.5418700811	0.6529030308	0.2260652335	0.8536070711	0.8536070711	0.7398857042	0.3574619465	0.7709557674
191	0.541799265	0.6529496018	0.2261011912	0.8538258946	0.8538258946	0.7399978022	0.3575260856	0.7710781132
192	0.5417729433	0.6529395566	0.2260934347	0.8538337098	0.8538337098	0.7399942862	0.3575170735	0.7711161714
193	0.5417442001	0.6530208014	0.226156177	0.8539274913	0.8539274913	0.7400816835	0.3576037349	0.7711405764
194	0.5416853731	0.6530841535	0.2262051148	0.853974382	0.853974382	0.740139979	0.3576690239	0.7712270189
195	0.5416081785	0.6532513205	0.2263343028	0.8538571551	0.8538571551	0.7402032742	0.357820204	0.7713139755
196	0.5415414851	0.653320776	0.2263880026	0.8539040459	0.8539040459	0.740265481	0.3578914269	0.7713740111
197	0.5414681859	0.6534432608	0.2264827363	0.8536383316	0.8536383316	0.7402442147	0.3579864349	0.771463938
