iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	AUC
0	0.6442914898	0.5972035589	0.1871461116	0.9732879014	0.9732879014	0.7402154208	0.3139291751	0.6746269393
1	0.6112634786	0.5972655401	0.187185312	0.9730221871	0.9730221871	0.7401861609	0.3139704955	0.6780269292
2	0.6092203295	0.5972927768	0.1872025407	0.9729127754	0.9729127754	0.7401754151	0.3139890336	0.6694759271
3	0.6072390463	0.5972299117	0.1871627776	0.9732253804	0.9732253804	0.7402175801	0.3139493697	0.6648264239
4	0.6004706503	0.5972370794	0.1871673108	0.9730456325	0.9730456325	0.740171088	0.313946393	0.6681575182
5	0.5945491888	0.5980978424	0.1877125113	0.9647147088	0.9647147088	0.7384043408	0.3142741121	0.6940579656
6	0.592156099	0.5995928373	0.1886632475	0.9599005916	0.9599005916	0.7381236863	0.3153467952	0.700745544
7	0.5883601481	0.602383361	0.1904509498	0.9575326086	0.9575326086	0.7395292084	0.3177101161	0.7109308803
8	0.5871721327	0.6038734547	0.1914125992	0.9553052979	0.9553052979	0.7399838018	0.3189231991	0.7121264796
9	0.5871612904	0.6036453438	0.1912650649	0.9562431129	0.9562431129	0.7400935626	0.3187705406	0.7121264796
10	0.5871551925	0.6032537128	0.191012042	0.9572590792	0.9572590792	0.7401029926	0.3184753287	0.7121264796
11	0.5867222175	0.6037887067	0.1913577736	0.9558601718	0.9558601718	0.7400865475	0.3188779867	0.7136917682
12	0.5855874232	0.603021392	0.1908621065	0.958181264	0.958181264	0.7402034546	0.3183178271	0.7144025877
13	0.5847158917	0.6034755525	0.1911553251	0.9568761381	0.9568761381	0.7401553888	0.3186532341	0.7146909658
14	0.5847146607	0.6034427342	0.1911341213	0.9570089952	0.9570089952	0.7401704441	0.3186311372	0.7146909658
15	0.5840474876	0.6044687071	0.191798135	0.9535390795	0.9535390795	0.7398994273	0.3193592504	0.716188728
16	0.5840474721	0.6044578778	0.191791114	0.9536016005	0.9536016005	0.7399101353	0.3193530235	0.716188728
17	0.583738664	0.6048825642	0.1920666511	0.9518119368	0.9518119368	0.7396884162	0.3196341519	0.7169152959
18	0.5829092348	0.6070387487	0.1934718462	0.9443797526	0.9443797526	0.7390334752	0.321150657	0.7181817736
19	0.5826618097	0.6077709112	0.1939513922	0.9417382402	0.9417382402	0.7387644118	0.3216573219	0.7184085368
20	0.5824777916	0.6083460571	0.1943289525	0.9391201732	0.9391201732	0.7383812885	0.3220228158	0.7184769787
21	0.5824777878	0.6083446921	0.1943280555	0.9391279883	0.9391279883	0.7383826986	0.3220220437	0.7184769787
22	0.5824435693	0.6083619463	0.1943393938	0.9393468118	0.9393468118	0.7384630367	0.3220504741	0.7185558697
23	0.5824435581	0.6083575829	0.1943365264	0.9393937026	0.9393937026	0.7384743113	0.3220492925	0.7185558697
24	0.5824266199	0.608414126	0.1943736869	0.9392452152	0.9392452152	0.7384700774	0.3220915866	0.7185763429
25	0.5794293645	0.6092887401	0.194949421	0.9360488289	0.9360488289	0.7381222369	0.3226922362	0.719406323
26	0.5794291654	0.60927907	0.1949430458	0.9361035348	0.9361035348	0.7381321484	0.3226867529	0.719406323
27	0.5787258824	0.6110196658	0.1960940238	0.9269598381	0.9269598381	0.7365386717	0.3237089346	0.7211955478
28	0.5787252297	0.6109972796	0.1960791764	0.9275225271	0.9275225271	0.736699961	0.3237229931	0.7211955478
29	0.5784746629	0.6124694742	0.1970580704	0.9201684941	0.9201684941	0.7354314919	0.3246013542	0.7214948051
30	0.5784175439	0.6128549161	0.1973151928	0.9182850489	0.9182850489	0.7351065473	0.3248324708	0.7215343155
31	0.5780169406	0.6131126076	0.1974872887	0.9191368976	0.9191368976	0.7355648256	0.3251189721	0.722702979
32	0.5778054046	0.6130613942	0.1974530741	0.9191134522	0.9191134522	0.7355204607	0.3250711396	0.7233906758
33	0.5774872004	0.6138382074	0.1979727067	0.9185585783	0.9185585783	0.7359012448	0.325740139	0.7237514943
34	0.5773327814	0.6134721756	0.1977276812	0.9199574857	0.9199574857	0.7360863488	0.3254960625	0.7243035971
35	0.5766393758	0.6147534961	0.19858679	0.9176520237	0.9176520237	0.736266977	0.3265135874	0.726461078
36	0.5763404746	0.6146100849	0.1984904424	0.9184726119	0.9184726119	0.7364280233	0.3264352108	0.7273338127
37	0.5763130515	0.6146161002	0.1984944827	0.9182772338	0.9182772338	0.7363695305	0.3264283323	0.7273688631
38	0.57631185	0.6146547636	0.1985204536	0.9181600069	0.9181600069	0.7363595822	0.3264560409	0.7273568644
39	0.5745311996	0.6150589717	0.1987921788	0.9165969818	0.9165969818	0.7361459939	0.326724192	0.7278571608
40	0.5743850093	0.6151716362	0.1988679854	0.9157451331	0.9157451331	0.7359517424	0.3267723782	0.7281747165
41	0.5742363323	0.615366736	0.1989993297	0.9141586627	0.9141586627	0.7355782819	0.3268484121	0.7284104673
42	0.5730171837	0.6158224849	0.1993064988	0.9127753855	0.9127753855	0.7354551735	0.3271738689	0.7284812567
43	0.5730171789	0.615820468	0.1993051384	0.9127753855	0.9127753855	0.7354537353	0.3271720359	0.7284812576
44	0.572935253	0.6158361336	0.1993157055	0.912806646	0.912806646	0.7354750542	0.3271882817	0.7286931156
45	0.5726604404	0.6159627065	0.1994011057	0.9133146291	0.9133146291	0.735730188	0.3273359784	0.7291146681
46	0.5714037221	0.6193418203	0.2016951909	0.9013965629	0.9013965629	0.7342125303	0.3296323288	0.7307824134
47	0.5711469538	0.6193115295	0.2016745044	0.9018967309	0.9018967309	0.7343571008	0.3296381247	0.7308538316
48	0.5709680632	0.6198739474	0.2020589582	0.900091437	0.900091437	0.7341525508	0.3300303458	0.7309014715
49	0.5709660838	0.6198530095	0.2020446318	0.9003102605	0.9003102605	0.734210641	0.3300259406	0.730905551
50	0.5709660713	0.6198482437	0.2020413711	0.900341521	0.900341521	0.7342176924	0.3300236908	0.730905551
51	0.5706672026	0.6206364113	0.2025813841	0.8956837062	0.8956837062	0.733214464	0.330428139	0.7313416423
52	0.5705691633	0.6205671971	0.2025339015	0.8970122776	0.8970122776	0.7336108641	0.3304552364	0.7316100395
53	0.5703835123	0.6208132118	0.2027027266	0.8951366475	0.8951366475	0.7331544031	0.3305522528	0.7317019322
54	0.5703835107	0.6208126545	0.202702344	0.8951444626	0.8951444626	0.7331566358	0.3305522768	0.7317019322
55	0.570369156	0.620718728	0.2026378706	0.8961995045	0.8961995045	0.7334446967	0.3305383733	0.7318086281
56	0.5703534884	0.6206181688	0.2025688682	0.8969106809	0.8969106809	0.733612497	0.3304948813	0.7319460253
57	0.57018227	0.6212648398	0.2030130361	0.8929562275	0.8929562275	0.7327362161	0.3308153994	0.7321084527
58	0.5697499306	0.6218919101	0.2034447175	0.8921043788	0.8921043788	0.7328848825	0.3313296026	0.7333841285
59	0.5693251057	0.6222124429	0.2036657478	0.8915026142	0.8915026142	0.7329041444	0.3315810662	0.7346111887
60	0.5692090715	0.6224461636	0.203827074	0.8913932024	0.8913932024	0.7330292653	0.3317872617	0.7348966255
61	0.5689261766	0.6225930349	0.203928521	0.8917683284	0.8917683284	0.7332579442	0.3319476485	0.7357206275
62	0.5684533065	0.6229904097	0.2042032622	0.8903381605	0.8903381605	0.7330491822	0.3322121084	0.7361446284
63	0.5679179929	0.622990823	0.2042035481	0.8911900091	0.8911900091	0.7333380339	0.3322717406	0.7367800408
64	0.5663119863	0.6253357688	0.2058327848	0.8895800933	0.8895800933	0.7344120759	0.3343118409	0.7385530926
65	0.5660434492	0.6257609242	0.2061296432	0.8888220261	0.8888220261	0.7344465252	0.3346495964	0.7391536429
66	0.5647086908	0.6257969591	0.2061548249	0.8914713537	0.8914713537	0.7353743007	0.3348701486	0.7407113638
67	0.5644789657	0.626093051	0.2063618607	0.8900958916	0.8900958916	0.7351100338	0.3350459131	0.7411621217
68	0.5637676181	0.6270999586	0.2070675669	0.8875325305	0.8875325305	0.7349262836	0.3357924087	0.7428618882
69	0.5634780856	0.6275284246	0.2073686385	0.886508749	0.886508749	0.7348689297	0.3361146586	0.7434147061
70	0.5623994957	0.6280501789	0.2077358881	0.8857506819	0.8857506819	0.7349657258	0.3365422304	0.743920844
71	0.5617917211	0.6287994607	0.2082644963	0.8837109341	0.8837109341	0.7347743998	0.3370874608	0.745009078
72	0.5604418495	0.6290777172	0.2084611661	0.8852036231	0.8852036231	0.7354800718	0.3374536354	0.7460134974
73	0.5596035932	0.6292249842	0.2085653334	0.8855318584	0.8855318584	0.7356940123	0.3376139682	0.7468621843
74	0.5584874121	0.6308881885	0.2097456287	0.8814211024	0.8814211024	0.735402693	0.3388560484	0.7487338194
75	0.5577090902	0.6320794198	0.2105953612	0.8782012707	0.8782012707	0.7350858065	0.3397238904	0.7501683219
76	0.5569933951	0.6331029495	0.2113284044	0.8749970693	0.8749970693	0.7346505119	0.3404352361	0.7508828192
77	0.5565884349	0.6339370703	0.2119278127	0.8735121955	0.8735121955	0.7346870965	0.3410995128	0.7515879267
78	0.5564990244	0.6340457651	0.212006056	0.8733011871	0.8733011871	0.7346854267	0.3411847503	0.7516291264
