iter	Passed	Remaining
0	585	228341
1	1219	237165
2	1649	213357
3	1917	185485
4	2279	175967
5	2873	184381
6	3652	200385
7	4204	201271
8	4452	188973
9	4597	175156
10	4757	164364
11	5043	159302
12	5753	167295
13	6409	172597
14	6527	163619
15	6993	163910
16	7109	156410
17	7597	157439
18	7911	154904
19	8302	154003
20	8579	151153
21	8702	145968
22	9026	144429
23	9147	139881
24	9609	140686
25	10240	143759
26	10371	139827
27	10805	140085
28	10925	136375
29	11442	137689
30	11885	138024
31	12394	139046
32	12936	140343
33	13263	139264
34	13696	139309
35	14155	139593
36	14661	140270
37	15134	140589
38	15326	138331
39	15800	138653
40	16085	137314
41	16672	138538
42	17176	139013
43	17353	136855
44	17933	137887
45	18348	137612
46	18850	137970
47	19396	138604
48	19656	137194
49	19842	135326
50	19956	133044
51	20568	134088
52	21000	133929
53	21399	133546
54	21511	131414
55	22058	131957
56	22234	130284
57	22806	130938
58	23227	130703
59	23711	130810
60	24249	131185
61	24515	130091
62	25025	130292
63	25471	130142
64	26115	130979
65	26634	131154
66	27104	131073
67	27298	129667
68	27853	129981
69	28114	128926
70	28595	128882
71	29157	129182
72	29580	128856
73	30137	129103
74	30655	129161
75	31297	129721
76	31946	130276
77	32493	130391
78	32894	129910
79	33573	130517
80	34222	130974
81	34661	130613
82	34968	129761
83	35557	129953
84	36070	129854
85	36475	129361
86	37023	129369
87	37524	129205
88	38086	129236
89	38693	129408
90	39327	129651
91	39898	129669
92	40425	129534
93	40914	129273
94	41481	129248
95	42041	129191
96	42564	129010
97	42923	128331
98	43519	128359
99	43887	127712
100	44409	127511
101	44753	126800
102	45329	126745
103	45969	126857
104	46555	126807
105	47166	126815
106	47727	126678
107	48202	126309
108	48698	125989
109	49305	125952
110	49841	125726
111	50414	125585
112	50951	125348
113	51336	124739
114	51836	124407
115	52202	123756
116	52724	123473
117	53057	122751
118	53470	122218
119	53977	121898
120	54496	121603
121	54929	121115
122	55471	120864
123	56013	120610
124	56578	120398
125	57125	120145
126	57667	119876
127	58137	119454
128	58623	119064
129	59143	118742
130	59651	118391
131	60240	118198
132	60879	118096
133	61405	117769
134	61754	117104
135	62237	116694
136	62776	116387
137	63358	116157
138	63787	115642
139	64227	115150
140	64840	114965
141	65428	114729
142	65967	114405
143	66436	113957
144	67021	113705
145	67555	113363
146	68241	113271
147	68763	112902
148	69359	112650
149	69969	112417
150	70560	112148
151	71090	111780
152	71743	111600
153	72251	111192
154	72940	111058
155	73568	110824
156	74063	110388
157	74694	110151
158	75274	109834
159	75861	109525
160	76387	109125
161	76970	108803
162	77484	108383
163	77877	107794
164	78460	107467
165	78901	106944
166	79444	106559
167	80004	106195
168	80567	105834
169	81284	105670
170	81917	105390
171	82563	105124
172	83051	104654
173	83642	104312
174	84290	104038
175	84770	103555
176	85485	103354
177	86046	102965
178	86536	102490
179	87167	102179
180	87806	101875
181	88327	101431
182	88925	101073
183	89414	100590
184	90088	100314
185	90517	99764
186	90957	99225
187	91413	98707
188	92071	98404
189	92669	98034
190	93082	97468
191	93577	96989
192	94092	96530
193	94650	96113
194	95290	95779
195	95837	95348
196	96313	94846
197	96745	94302
198	97372	93946
199	97762	93363
200	98333	92951
201	98993	92622
202	99576	92218
203	100182	91833
204	100836	91490
205	101446	91104
206	102002	90669
207	102572	90244
208	103152	89826
209	103540	89242
210	104119	88822
211	104708	88409
212	105352	88041
213	105985	87660
214	106504	87184
215	107045	86727
216	107647	86316
217	108306	85949
218	109033	85633
219	109622	85206
220	110235	84796
221	110724	84290
222	111293	83844
223	111784	83339
224	112350	82889
225	112773	82334
226	113347	81889
227	113866	81404
228	114429	80950
229	114963	80474
230	115429	79950
231	115883	79420
232	116505	79003
233	117053	78536
234	117555	78036
235	118169	77611
236	118694	77126
237	119283	76682
238	119873	76237
239	120460	75789
240	121129	75391
241	121919	75066
242	122372	74531
243	122973	74086
244	123552	73627
245	124105	73151
246	124685	72691
247	125191	72187
